objectid,pckg_ref,match_ref
1,Alcohol,xalcohol
2,Anthocyanidins,
3,Beta-carotene,xbetacarotene
4,Caffeine,xcaffeine
5,Carbohydrate,xCHO
6,Cholesterol ,xcholesterol
7,Energy,xenergy
8,Eugenol,
9,Fiber,xfiber
10,Flavan-3-ol,
11,Flavones,
12,Flavonols,
13,Flavonones,
14,Folic acid,xfolicacid
15,Garlic,
16,Ginger,
17,Green/black tea,
18,Iron,xiron
19,Isoflavones,
20,Magnesium,xmagnesium
21,MUFA,xMUFA
22,n-3 fatty acid,xn3
23,n-6 fatty acid,xn6
24,Niacin,xniacin
25,Onion,
26,Pepper,
27,Protein,xprotein
28,PUFA,xPUFA
29,Riboflavin,xvitB2
30,Rosemary,
31,Saffron,
32,Saturated fat,xsaturatedfat
33,Selenium,xselenium
34,Thiamin,xvitB1
35,Thyme/oregano,
36,Total fat,xtotalfat
37,Trans fat,
38,Turmeric,
39,Vitamin A,xvitA
40,vitamin B12,xvitB12
41,vitamin B6,xvitB6
42,Vitamin C,xvitC
43,Vitamin D,xvitD
44,Vitamin E,xVitE
45,Zinc,xzinc
